name|development_stage|completion_year|dwellings_number|address_line1|address_region|address_code|housing_tenure|legal_form
Woongroep Nieuw Wede [HK 36 1990] [50+]|active|1990|36||Amersfoort||['rental_social','ownership_full']|[]
Woongroep Nimmerdor [HK 28 2002] [50+]|active|2002|28||Amersfoort||['rental_social','ownership_full']|[]
*Woongroep SamenZelfstandig [K] [50+]|developing||||Amersfoort||['ownership_full']|[]
Woongroep Schimmelpenninckstraat|active||||Amersfoort||[]|[]
Woongroep Senioren Wendakker [H 25 1994] [50+]|active|1994|25||Amersfoort||['rental_social']|[]
C.W. Amstelveen [H 36 1991] [cw]|active|1991|36||Amstelveen||['rental_social']|[]
Groepswonen van Ouderen Westwijk [H 21] [50+]|active||21||Amstelveen||['rental_social']|[]
Woongroep De Bietelaer [H 17 1989] [50+]|active|1989|17||Amstelveen||['rental_social']|[]
Woongroep De Wijnrank [H 16]|active||16||Amstelveen||['rental_social']|[]
't Sonnehoekje [H] [wg]|active||||Amsterdam||['rental_social']|[]
AdamCS|active||||Amsterdam||[]|[]
Anand Joti [ 24 1998] [50+ multi]|active|1998|24||Amsterdam||[]|[]
Aya Gaia Yoga [sp]|active||||Amsterdam||[]|[]
*Cape Botanica [K] [eco]|developing||||Amsterdam||['ownership_full']|[]
De Groene Gemeenschap [ 6 2011] [ww]|active|2011|6||Amsterdam||[]|[]
*De Warren|developing||||Amsterdam||[]|[]
De Wimpel [H 15 1990] [50+]|active|1990|15||Amsterdam||['rental_social']|[]
Foe Ooi Leeuw - Nieuw Kempering [ 54 2006] [50+ multi]|active|2006|54||Amsterdam||[]|[]
Geinsteijn [wg]|active||||Amsterdam||[]|[]
Hembrug161 [wg]|active||||Amsterdam||[]|[]
*Het Open IJnde [ 20]|developing||20||Amsterdam||[]|[]
Huize JWB [wg]|active||||Amsterdam||[]|[]
Inktfabriek [ww]|active||||Amsterdam||[]|[]
Kostverloren [H]|active||||Amsterdam||['rental_social']|[]
KSG [wg]|active||||Amsterdam||[]|[]
Marcantilaan [wg]|active||||Amsterdam||[]|[]
nog geen naam [H]|active||||Amsterdam||['rental_social']|[]
*Noorderzon [50+]|developing||||Amsterdam||[]|[]
Oud-West Thuis Best [wg]|active||||Amsterdam||[]|[]
Pergola [H]|active||||Amsterdam||['rental_social']|[]
*Pittig Belegen [ 11 2014] [50+]|developing|2014|11||Amsterdam||[]|[]
Plantagedok [ 2005] [ww]|active|2005|||Amsterdam||[]|[]
Ribut|active||||Amsterdam||[]|[]
Seniorenwoongroep 44 [H 27] [50+]|active||27||Amsterdam||['rental_social']|[]
Sparrenweg|active||||Amsterdam||[]|[]
Stadskruid|active||||Amsterdam||[]|[]
*Stichting Een Vrolijke Oude Dag [HK 37]|developing||37||Amsterdam||['rental_social','ownership_full']|[]
*Urban Street Forest|developing||||Amsterdam||[]|[]
Urtica [wg]|active||||Amsterdam||[]|[]
Vereniging Lutmastraat [ 8]|active||8||Amsterdam||[]|[]
*Villa Mazzelsteijn [ 23 2015] [50+ multi]|developing|2015|23||Amsterdam||[]|[]
Vrijburcht [K 52 2006] [ww]|active|2006|52||Amsterdam||['ownership_full']|[]
WG-terrein [H 80 1984] [ww]|active|1984|80||Amsterdam||['rental_social']|[]
Wi Kontren [K 31] [multi]|active||31||Amsterdam||['ownership_full']|[]
Wijk 7 [ww]|active||||Amsterdam||[]|[]
Woongemeenschap DK 91 [wg]|active||||Amsterdam||[]|[]
Woongemeenschap Nautilus [K 42 2016] [ww ww]|active|2016|42||Amsterdam||['ownership_full']|[]
Woongroep|active||||Amsterdam||[]|[]
Woongroep Abraham-Silodam [H 11 2002] [50+]|active|2002|11||Amsterdam||['rental_social']|[]
Woongroep Acht [wg]|active||||Amsterdam||[]|[]
Woongroep Ahadeb|active||||Amsterdam||[]|[]
Woongroep Akersingel [H 15 1989] [50+]|active|1989|15||Amsterdam||['rental_social']|[]
Woongroep Andalus [ 2010] [50+ multi]|active|2010|||Amsterdam||[]|[]
Woongroep Bewonerskollektief JWB 50-66 [wg]|active||||Amsterdam||[]|[]
Woongroep BlaBla|active||||Amsterdam||[]|[]
Woongroep Bos en Lommer [H 24] [50+]|active||24||Amsterdam||['rental_social']|[]
Woongroep Carpe Diem [H 22] [50+]|active||||Amsterdam||['rental_social']|[]
Woongroep Centrum-Oost [H] [wg]|active||||Amsterdam||['rental_social']|[]
Woongroep De Amstel [H 17 1988] [50+]|active|1988|17||Amsterdam||['rental_social']|[]
Woongroep De Bickerie|active||||Amsterdam||[]|[]
Woongroep De Diamant [ 3]|active||3||Amsterdam||[]|[]
Woongroep De Doorzetters [H 11] [50+]|active||11||Amsterdam||['rental_social']|[]
Woongroep De Lepel [wg]|active||||Amsterdam||[]|[]
Woongroep de Noordhollander [H 15] [50+]|active||15||Amsterdam||['rental_social']|[]
Woongroep De Paarse Olifant|active||||Amsterdam||[]|[]
Woongroep de Parelhoenders [H 20] [50+]|active||20||Amsterdam||['rental_social']|[]
Woongroep De Plofhoek [wg]|active||||Amsterdam||[]|[]
Woongroep De Roef [H 22] [50+]|active||22||Amsterdam||['rental_social']|[]
Woongroep De Sgone Sgein [H] [wg]|active||||Amsterdam||['rental_social']|[]
Woongroep de Tuinsteders [H 20] [50+]|active||20||Amsterdam||['rental_social']|[]
Woongroep de Voorde [H 8 1987] [50+]|active|1987|8||Amsterdam||['rental_social']|[]
Woongroep Dolhuys|active||||Amsterdam||[]|[]
Woongroep Het Middenhof [H 14] [50+]|active||14||Amsterdam||['rental_social']|[]
Woongroep Het Ruyschhuis [wg]|active||||Amsterdam||[]|[]
Woongroep Hof van Welna [H 12] [50+]|active||12||Amsterdam||['rental_social']|[]
Woongroep Ithaca Geuzenveld [H 32] [50+]|active||32||Amsterdam||['rental_social']|[]
Woongroep Jonas|active||||Amsterdam||[]|[]
Woongroep Kandeel|active||||Amsterdam||[]|[]
Woongroep Lievevrouwebedstroo [H 8] [50+]|active||8||Amsterdam||['rental_social']|[]
Woongroep Lijn 11 [H]|active||||Amsterdam||['rental_social']|[]
Woongroep Meer Wonen [H 10] [50+]|active||10||Amsterdam||['rental_social']|[]
Woongroep Nassaustaete [50+]|active||||Amsterdam||[]|[]
Woongroep Nieuwendam [H 22 1996] [50+]|active|1996|22||Amsterdam||['rental_social']|[]
Woongroep Non Solus [H 17 1994] [50+]|active|1994|17||Amsterdam||['rental_social']|[]
Woongroep Oude Rai [wg]|active||||Amsterdam||[]|[]
Woongroep Oude Schans [H 13 1987] [50+]|active|1987|13||Amsterdam||['rental_social']|[]
Woongroep Ouderen Buitenveldert [50+]|active||||Amsterdam||[]|[]
Woongroep Politburo|active||||Amsterdam||[]|[]
Woongroep Prinsengracht [H 16 1985] [50+]|active|1985|16||Amsterdam||['rental_social']|[]
Woongroep Schaterlach|active||||Amsterdam||[]|[]
Woongroep Sectie Zes [wg]|active||||Amsterdam||[]|[]
*Woongroep Shravan [ 35 2009] [50+ multi]|developing|2009|35||Amsterdam||[]|[]
Woongroep Sloten|active||||Amsterdam||[]|[]
Woongroep Spoorzicht|active||||Amsterdam||[]|[]
Woongroep Turkse ouderen (naam onbekend) [ 2008] [50+ multi]|active|2008|||Amsterdam||[]|[]
Woongroep Tweede Lente Buskenblaser [50+ multi]|active||||Amsterdam||[]|[]
Woongroep UTVM [H 5 1992] [wg]|active|1992|5||Amsterdam||['rental_social']|[]
Woongroep van 666 Klaar|active||||Amsterdam||[]|[]
Woongroep Vita Nova [H 23 1992] [50+]|active||23||Amsterdam||['rental_social']|[]
Woongroep Vlieg|active||||Amsterdam||[]|[]
Woongroep W|active||||Amsterdam||[]|[]
Woongroep Wi Makandra [50+ multi]|active||||Amsterdam||[]|[]
Woongroep Wies Ringersma-complex [H 22] [50+|active||22||Amsterdam||['rental_social']|[]
Woongroep Wilhelmina [50+]|active||||Amsterdam||[]|[]
Woongroepvereniging Nos Perla [50+ multi]|active||||Amsterdam||[]|[]
"Woonvereniging ""De Oostvaarders"" [50+]"|active||||Amsterdam||[]|[]
Woonvereniging Femina Muller [ 6] [wg]|active||6||Amsterdam||[]|[]
Woonvereniging H.Veo [ 1983] [wg]|active|1983|||Amsterdam||[]|[]
Woonvereniging Waaigat [H 5]|active||5||Amsterdam||['rental_social']|[]
WoonWerkPand Tetterode [ww]|active||||Amsterdam||[]|[]
Woongroep Vianenstraat 164|active||||Amsterdam Zuidoost||[]|[]
*Nieuw Bouwlust [ 2015]|developing|2015|||Anna Paulowna||[]|[]
Woonvorm De Zetstee [HK 24] [50+]|active||24||Annen||['rental_social','ownership_full']|[]
Apeldoornse Vereniging Woongemeenschap voor Ouderen [H 40] [50+]|active||40||Apeldoorn||['rental_social']|[]
C.W. 't Vierschaar [H 21 1984] [cw]|active|1984|21||Apeldoorn||['rental_social']|[]
Woongemeenschap Rijnveste [H 19] [50+]|active||19||Apeldoorn||['rental_social']|[]
Woongemeenschap van senioren 'Ruisend Veld' [HK 34 2004] [50+]|active|2004|34||Apeldoorn||['rental_social','ownership_full']|[]
Woongroep Kerschoten [H 13 1989] [50+]|active|1989|13||Apeldoorn||['rental_social']|[]
Woongroep van Senioren Westerzande [H 29] [50+]|active||29||Apeldoorn||['rental_social']|[]
Woongemeenschap De Vaart [ 25] [50+]|active||25||Appelscha||[]|[]
*Zandroos [ 24] [50+ sp]|developing||24||Appelscha||[]|[]
*Arneco [K 15] [eco]|developing||15||Arnhem||['ownership_full']|[]
Bouricius [wg]|active||||Arnhem||[]|[]
C.W. Arnhem [H 30 1980] [cw]|active|1980|30||Arnhem||['rental_social']|[]
Casa de Pauw [ 43 1985] [ww]|active|1985|43||Arnhem||[]|[]
De Academie|active||||Arnhem||[]|[]
de Lawick [wg]|active||||Arnhem||[]|[]
Hotel Bosch [ 11] [wg]|active||11||Arnhem||[]|[]
Paul Krugerstraat|active||||Arnhem||[]|[]
Polderdrift [H 40 1996] [eco]|active|1996|40||Arnhem||['rental_social']|[]
Woongroep Bosch [ 1978] [wg]|active|1978|||Arnhem||[]|[]
Woongroep De Schimmel [H 19] [50+]|active||19||Asperen||['rental_social']|[]
Weiershaar [HK 14 1996] [50+]|active|1996|14||Assen||['rental_social','ownership_full']|[]
Woongroep De Linden [H 25 2002] [50+]|active|2002|25||Assen||['rental_social']|[]
Woon- en Werkgemeenschap Grensgeval [ww]|active||||Baarle-Nassau||[]|[]
*De Kwekerij [HK] [50+]|developing||||Baarn||['rental_social','ownership_full']|[]
*De Zilvervloot [HK 28] [50+]|developing||28||Baarn||['rental_social','ownership_full']|[]
Woongroep KJS [HK 23] [50+]|active||23||Baarn||['rental_social','ownership_full']|[]
Woongroep Koningin Julianaschool|active||||Baarn||[]|[]
Woongemeenschap Zernikehof [50+]|active||||Badhoevedorp||[]|[]
Wooncentrum De Ding'n [50+]|active||||Baflo||[]|[]
Woongroep t Ankerplak [H 20] [50+]|active||20||Bakkeveen||['rental_social']|[]
Leefgemeenschap De Bondgenoot [sp]|active||||Barneveld||[]|[]
De Trog|active||||Beek||[]|[]
*Vereniging Babylon [ww]|developing||||Berg en Dal||[]|[]
Hooge Berkt Gemeenschap [sp]|active||||Bergeijk||[]|[]
*Ecodorp Bergen [ww]|developing||||Bergen||[]|[]
Woongroep Jong Nederland|active||||Bergen aan Zee||[]|[]
Vereniging De Zilveren Schakel [H 46] [50+]|active||46||Berkel/Rodenrijs||['rental_social']|[]
Woongroep Amstelstaete [50+]|active||||Beverwijk||[]|[]
Woongroep d' Oldenborgh [50+]|active||||Beverwijk||[]|[]
Woongroep De Groene Horst [H 1989] [50+]|active|1989|||Beverwijk||['rental_social']|[]
*Woon Werk Gemeenschap Walcheren [K 20] [ww]|active||20||Biggekerke||['ownership_full']|[]
*Sterrenstate [50+]|developing||||Bilthoven||[]|[]
Woongroep Lugtensteyn [H 28 2001] [50+]|active|2002|28||Bilthoven||['rental_social']|[]
*Ecodorp Boekel [H 35] [eco]|active||35||Boekel||['rental_social']|[]
Tweede Woongemeenschap Stede-Broec [50+]|active||||Bovenkarspel||[]|[]
Woongemeenschap Stedeborgh [H 50 1996] [50+]|active|1996|50||Bovenkarspel||['rental_social']|[]
Woongemeenschap VoorMekaar [H 12 2008] [50+]|active|2008|12||Boxmeer||['rental_social']|[]
Anders Wonen voor Ouderen [50+]|active||||Breda||[]|[]
C.W. Het Aardrijk [H 52 1988] [cw]|active|1988|52||Breda||['rental_social']|[]
Het Bastion [ 1982] [wg]|active|1982|||Breda||[]|[]
Sous-Venir [H 26 1999] [50+]|active|1999|26||Breda||['rental_social']|[]
*Woongemeenschap Brielle [ 8]|developing||8||Brielle||[]|[]
WVO Brummen [50+]|active||||Brummen||[]|[]
Woongemeenschap De Kamp [H 4 1986] [50+]|active|1986|4||Bunnik||['rental_social']|[]
Woongroep De Grondslag [HK 25 2001] [50+]|active|2001|25||Bunnik||['rental_social','ownership_full']|[]
Woongroep Dordrecht Merwede [50+]|active||||Capelle a.d. IJssel||[]|[]
C.W. De Bonvivant [H 50 1990] [cw]|active|1990|50||Capelle a/d IJssel||['rental_social']|[]
*De Werfterp [ 19] [ww]|developing||19||Culemborg||[]|[]
VGO Culemborg [HK 38] [50+]|active||38||Culemborg||['rental_social','ownership_full']|[]
Woongroep Het Kwarteel [K 24 2003] [50+]|active|2003|24||Culemborg||['rental_social','ownership_full']|[]
Villa Linnaeus|active||||De Bilt||[]|[]
Woongroep Sandwijck [ 20 1980] [wg]|active|1980|20||De Bilt||[]|[]
De Wijde Mantel [H 6]|active||6||De Glind||['rental_social']|[]
*Centraal woon/werk project Midgaard [ 5] [cw]|developing||5||De Heurne (gld)||[]|[]
*Woongroep Het Oude Raedthuys [K 12] [50+]|active||||De Lier||['ownership_full']|[]
Het Carré [H 49 2003]|active|2003|49||Delfgauw||['rental_social']|[]
Woongroep de Florijnhoek [ 23 2002] [50+]|active|2002|23||Delfgauw||[]|[]
C.W. Delft [H 80 1981] [cw]|active|1981|80||Delft||['rental_social']|[]
*Cooperatieve Woongemeenschap Feniks UA|developing||||Delft||[]|[]
De Oude Nieuwelaan [ 1980] [ww]|active|1980|||Delft||[]|[]
Stadsboerderij Delft [K 4 2000]|active|2000|4||Delft||['ownership_full']|[]
Vereniging Bagijnhof 13 [ 40] [wg]|active||40||Delft||[]|[]
Voorstraat 26 [H]|active||||Delft||['rental_social']|[]
Woongroep|active||||Delft||[]|[]
Woongroep De Grote Leeuw|active||||Delft||[]|[]
Woongroep Krobiko|active||||Delft||[]|[]
Woongroep Van Lodensteijnstraat|active||||Delft||[]|[]
Woonvereniging KM75 [H 1983]|active|1983|||Delft||['rental_social']|[]
Woonvereniging Nevel Nemas [ 34 2011] [50+]|active|2011|34||Delft||[]|[]
ZAB|active||||Delft||[]|[]
Bewust Wonen Werken Boschveld [ 24 2018]|active|2018|24||Den Bosch||[]|[]
Boschgaard [ww]|active||||Den Bosch||[]|[]
Claraklooster|active||||Den Bosch||[]|[]
*CPO Geldersedam [K 10]|developing||10||Den Bosch||['ownership_full']|[]
*De Crisis te lijf|developing||||Den Bosch||[]|[]
*De Oosterburen [HK 14]|developing||14||Den Bosch||['rental_social','ownership_full']|[]
De Paap [ 1978] [ww]|active||||Den Bosch||[]|[]
*Ecobosch [HK] [ww]|developing|1978|||Den Bosch||['rental_social','ownership_full']|[]
Elf A|active||||Den Bosch||[]|[]
Anna Paulowna [ 14 1993] [50+]|active|1993|14||Den Haag||[]|[]
Aqua Marino [H 28 1996] [multi]|active|1996|28||Den Haag||['rental_social']|[]
Bangun Trisno [H 24 1997] [50+ multi]|active|1997|24||Den Haag||['rental_social']|[]
Baris Evi [H 28 1999] [50+ multi]|active|1999|28||Den Haag||['rental_social']|[]
Bindraban Bhawan [50+ multi]|active||||Den Haag||[]|[]
C.W. Houtwijk [H 49 1984] [cw]|active|1984|49||Den Haag||['rental_social']|[]
C.W. Katerstraat [H 31 1986] [cw]|active|1986|31||Den Haag||['rental_social']|[]
C.W. Leidschendam [ 26 2000] [cw]|active|2000|26||Den Haag||['rental_social']|[]
Dar Es Salaam [H 34 2004] [50+ multi]|active|2004|34||Den Haag||['rental_social']|[]
De Chinese Brug [H 23 1993] [50+ multi]|active|1993|23||Den Haag||['rental_social']|[]
De Grote Pyr [ 2002] [ww]|active|2002|||Den Haag||[]|[]
de Nolenshoek [H 24 1994] [50+]|active|1994|24||Den Haag||['rental_social']|[]
De Oude Pander [H 16 1989] [50+]|active|1989|16||Den Haag||['rental_social']|[]
De Sierkan [H 11 1987] [50+]|active|1987|11||Den Haag||['rental_social']|[]
De Waterspin [ 39 1998] [ww]|active|1998|39||Den Haag||[]|[]
De Witte Boom [ 1988] [cw]|active|1988|||Den Haag||[]|[]
Doornhoek [H 23 1999] [50+]|active|1999|23||Den Haag||['rental_social']|[]
Emmaus Woongroep Welvaartresten|active||||Den Haag||[]|[]
Fook Sau [H 21 1995] [50+ multi]|active|1995|21||Den Haag||['rental_social']|[]
Fred 268 [wg]|active||||Den Haag||[]|[]
Fu Hua Low [H 21 2005] [50+ multi]|active|2005|21||Den Haag||['rental_social']|[]
Fultonia|active||||Den Haag||[]|[]
Groene Mient [K 33 2017] [eco]|active|2017|33||Den Haag||['ownership_full']|[]
Ichtus [H 14 2006] [sp]|active|2006|14||Den Haag||['rental_social']|[]
Kamal Huis [H 34 1992] [50+ multi]|active|1992|34||Den Haag||['rental_social']|[]
*La Vie en Rose [HK 32 2010]|developing|2010|32||Den Haag||['rental_social','ownership_full']|[]
Mozartheuvel [H 18 1993] [50+]|active|1993|18||Den Haag||['rental_social']|[]
Polanenhof WZH Waterhof [50+ multi]|active||||Den Haag||[]|[]
Romeinse Schans [H 19 1989] [50+]|active|1989|19||Den Haag||['rental_social']|[]
Sewa Sangh [H 30 1998] [50+ multi]|active|1998|30||Den Haag||['rental_social']|[]
Shanti Bhawan [H 30 1992] [50+ multi]|active|1992|30||Den Haag||['rental_social']|[]
Singel Senang [50+ multi]|active||||Den Haag||[]|[]
Sirene [wg]|active||||Den Haag||[]|[]
Van Speijk [H 14 1999] [50+]|active|1999|14||Den Haag||['rental_social']|[]
Verhulstplein [H 17 1990] [50+]|active|1990|17||Den Haag||['rental_social']|[]
Waringin [H 19 2007] [50+ multi]|active|2007|19||Den Haag||['rental_social']|[]
Wateringse Hof [H 24 1999] [50+]|active|1999|24||Den Haag||['rental_social']|[]
Wing Fook [H 31 1996] [50+ multi]|active|1996|31||Den Haag||['rental_social']|[]
Wing Hong [H 28 1999] [50+ multi]|active|1999|28||Den Haag||['rental_social']|[]
Wisma Tunggal Karsa [50+ multi]|active||||Den Haag||[]|[]
Wonen Werken Pander [ww]|active||||Den Haag||[]|[]
Woongemeenschap De Leien Hoek [50+]|active||||Den Haag||[]|[]
Woongemeenschap de Toermalijn [H 18 1990] [50+]|active|1990|18||Den Haag||['rental_social']|[]
Woongemeenschap Stanfasti [H 30 1997] [50+ multi]|active|1997|30||Den Haag||['rental_social']|[]
Woongemeenschap Teunisbloemhof [H] [50+]|active||||Den Haag||['rental_social']|[]
Woongroep 't Boogje|active||||Den Haag||[]|[]
Woongroep 100|active||||Den Haag||[]|[]
Woongroep Akelei [ 17] [50+]|active||17||Den Haag||[]|[]
Woongroep Beeklaan [HK 32 2008] [50+ multi]|active|2008|32||Den Haag||['rental_social','ownership_full']|[]
*Woongroep COC/Humanisten [ 54] [50+]|developing||54||Den Haag||[]|[]
Woongroep Diepenbrockhove [H 19] [50+]|active||19||Den Haag||['rental_social']|[]
Woongroep OpStand|active||||Den Haag||[]|[]
Ypenburg [H 17 2004] [50+]|active|2004|17||Den Haag||['rental_social']|[]
Woongemeenschap de Rietschoten [H 32] [50+]|active||32||Den Helder||['rental_social']|[]
*Woongroep Den Hout [wg]|developing||||Den Hout||[]|[]
*t Stijn [K 13] [50+]|developing||13||Deurne||['ownership_full']|[]
C.W. Deventer [H 32 1994] [cw]|active|1994|32||Deventer||['rental_social']|[]
V.E.G.W.D. 'Het Zandgoed' [K 10 2000] [cw eco]|active|2000|10||Deventer||[]|[]
*Woongroep Dappere Buren [ 16 2012]|developing|2012|16||Deventer||[]|[]
Zwolseweg [ 3]|active||3||Deventer||[]|[]
Woongroep 't Schaar [H 1980]|active|1980|||Dieren||['rental_social']|[]
Haiku Woongroep|active||||Doesburg||[]|[]
C.W. de Hofstede [K 12 1981] [cw]|active|1981|12||Doetinchem||[]|[]
*C.W. Doetinchem (naam onbekend) i.o. [cw]|developing||||Doetinchem||[]|[]
LE295:E366eefgemeenschap Elim [sp]|active||||Doorn||[]|[]
Woongroep Het Baken [H 11] [50+]|active||11||Dordrecht||['rental_social']|[]
*Woongroep Opteiland [HK 2010] [gh]|developing|2010|||Dordrecht||['rental_social','ownership_full']|[]
Woongroep Oude*R*landshoek [H 37 1994] [50+]|active|1994|37||Dordrecht||['rental_social']|[]
Woongroep De Merelhof [H 26] [50+]|active||26||Drachten||['rental_social']|[]
Woongroep De Trijesprong|active||||Drachten||[]|[]
C.W. de Binnentuin [H 8 2014] [cw]|active|2014|8||Driebergen||['rental_social']|[]
*Hof van Driebergen|developing||||Driebergen||[]|[]
Zonnespreng [ 20 2010] [cw eco]|active|2010|20||Driebergen||[]|[]
*Centraal Bouwen en Wonen Heuvelrug [HK]|developing||||Driebergen-Rijsenburg||[]|[]
Vasati [wg]|active||||Driebergen-Rijsenburg||[]|[]
De Wiekslag [ 24 2012] [50+]|active|2012|24||Dronten||[]|[]
Woongroep De Bolster [H] [50+]|active||||Duivendrecht||['rental_social']|[]
Vitalius [50+]|active||||Ede||[]|[]
C.W. De Wonenwij [H 47 1997] [cw]|active|1997|47||Ede||['rental_social']|[]
Burgers [ 18 1990] [ww]|active|1990|18||Eindhoven||[]|[]
C.W. Lismortel [H 62 1983] [cw]|active|1983|62||Eindhoven||['rental_social']|[]
C.W. Strijp [H 21 1989] [cw]|active|1989|21||Eindhoven||['rental_social']|[]
Cohousing Strijp-R [ 2017] [cw]|active|2017|||Eindhoven||[]|[]
De Schrijver [K 21 2015] [50+]|active|2015|21||Eindhoven||['rental_social','ownership_full']|[]
*Elkrijk [HK 45] [ww]|developing||45||Eindhoven||[]|[]
Erbij Huis [H 6] [50+]|active||6||Eindhoven||['rental_social']|[]
Hoogstraatgemeenschap [sp]|active||||Eindhoven||[]|[]
Kruisstraat Fijnadres [wg]|active||||Eindhoven||[]|[]
Mi-Bosie [50+ multi]|active||||Eindhoven||[]|[]
Ventoseflat [ww gh]|active||||Eindhoven||[]|[]
Woongemeenschap Aquarius [H 35 1990] [50+]|active|1990|35||Eindhoven||['rental_social']|[]
*Ekodorp Elst [eco]|developing||||Elst||[]|[]
C.W. Emmen [HK 47 1985] [cw]|active|1985|47||Emmen||['rental_social','ownership_full']|[]
*Groepswonen van 50-plussers in Emmen [H] [50+]|developing||||Emmen||['rental_social']|[]
Woongemeenschap Kwakershof [H 35 2002] [50+]|active|2002|35||Enkhuizen||['rental_social']|[]
't Piepke [H]|active||||Enschede||['rental_social']|[]
De Wonne Enschede [ 1979]|active|1979|||Enschede||[]|[]
Woongroep Vijverhof [H 30] [50+]|active||30||Ermelo||['rental_social']|[]
*t Merelnest [K|developing||||Etten Leur||['ownership_full']|[]
*Wooncoöperatie Finnewold [HK 22 2016]|developing|2016|22||Finsterwolde||['rental_social','ownership_full']|[]
Het Pakhuis|active||||Franeker||[]|[]
*De Groene Gieter [K] [eco]|developing||||Gaanderen||['ownership_full']|[]
*De lachende Boedha|developing||||Geffen||[]|[]
*Vereniging Groepswonen 50+ Geldermalsen [50+]|developing||||Geldermalsen||[]|[]
*Woongroep Abshof [ 7]|developing||7||Geleen||[]|[]
*Eco-Aldea Mare Terre Giethoorn [eco]|developing||||Giethoorn||[]|[]
De Wonne Glanerbrug [ 2000]|active|2000|||Glanerbrug||[]|[]
*De Buitenschool [ww]|developing||||Glimmen||[]|[]
Woongroep Weerbaar Gorinchem [H 24] [50+]|active||24||Gorinchem||['rental_social']|[]
Woongroep De Singel [H 18 2003] [50+]|active|2003|18||Gouda||['rental_social']|[]
Woongroep Olivier van Noort [HK 26 2007] [50+]|active|2007|26||Gouda||['rental_social','ownership_full']|[]
C.W. De Heerd [H 46 1982] [cw]|active|1982|46||Groningen||['rental_social']|[]
De Grote Lelie [wg]|active||||Groningen||[]|[]
de Metropool|active||||Groningen||[]|[]
*Het BuitensteBinnen|developing||||Groningen||[]|[]
*Het Groene Dorp [HK 100] [cw]|developing||100||Groningen||['rental_social','ownership_full']|[]
Het Oude RKZ [ 1979] [ww]|active|1979|||Groningen||[]|[]
Huize IJkelstein [wg]|active||||Groningen||[]|[]
ORKZ [ 1979] [ww]|active|1979|||Groningen||[]|[]
Portageel [wg]|active||||Groningen||[]|[]
Vereniging De Borght [ 1989]|active|1989|||Groningen||[]|[]
Woongroep Baulig|active||||Groningen||[]|[]
Woongroep Boschlust [ 7] [wg]|active||7||Groningen||[]|[]
Woongroep Brasa [H 13 2005] [50+ multi]|active|2005|13||Groningen||['rental_social']|[]
Woongroep De Nieuwe Kijk|active||||Groningen||[]|[]
Woongroep De Vooruitgang [ 34]|active||34||Groningen||[]|[]
Woongroep Erven S [ 7 1981]|active|1981|7||Groningen||[]|[]
Woongroep Oosterpoort|active||||Groningen||[]|[]
Woongroep Pancho|active||||Groningen||[]|[]
Woongroep Pimpernel [wg]|active||||Groningen||[]|[]
Woongroep Plein|active||||Groningen||[]|[]
Woongroep Plof|active||||Groningen||[]|[]
