id,parent_id,country,name,definition
16,4,DK,Bofællesskab,"Cohousing: intentional community with a high degree of interaction, sharing and social cohesion. Although Bofællesskaber can be any housing typology, they are usually low-rise compact rural settlements, composed of self-contained units with a common house/ common rooms, which typically include a shared kitchen and a common living room. Democratic self-governance, common activities (e.g., cooking and eating together) and shared responsibilities (e.g., maintenance) are typical features of a Bofællesskab."
17,4,BL,Co-wonen,"Cohousing: intentional community of private units equipped with kitchen and bathroom organised around shared space, with common activities where members are expected to take part in, and shared responsibilities."
18,4,SE,Kollektivhus,"Cohousing / collective housing: intentional community of private units equipped with kitchen and bathroom organised around shared space, with common activities that residents are expected to take part in, and shared responsibilities."
19,4,ES,Vivienda Colaborativa,"Cohousing - residential model as a result of a joint initiative of a group of residents. Projects have common infrastructure and spaces, implying a collaborative way of life where residents share more common activities than usual. The concept differs from earlier cooperative housing projects, especially those linked to the housing boom period before the 2008 crisis."
20,11,GB,Senior co-shousing,"Cohousing intended for senior residents that has been gaining popularity in the past years."
21,11,NL,Groepswonen voor Ouderen,"Senior collaborative housing: collaborative sub-form of Central Wonen / Gemeenschappelijk wonen targeting elderly people, where main drivers are social interaction and mutual care."
22,11,DK,Seniorbofællesskab,"Senior cohousing: cohousing intended for people above 50 years old."
23,11,SE,Kollektivhus för andra halvan av livet,"Cohousing / collective housing for the second half of life: co-housing intended for residents above 40 years old, and do not allow children."
24,11,ES,Cooperativa senior / Residencialidad Colaborativa,"Senior Cohousing: cohousing for senior residents (> 50 years). These projects are seen as an alternative to both public and private senior facilities perceived as expensive and poorly equipped. They consist of small apartment units complemented by shared spaces. Although they are mostly private initiatives, some have been recently developed by municipal housing companies."
25,5,DK,Økosamfund / Økolandsby,"Eco communities/Eco-villages: intentional communities with the goal of producing the least possible negative impact on the natural environment and becoming more socially, culturally, economically, and/or ecologically sustainable. They are often self-built and share community-life activities similar to co-housing, to different extents."
26,5,FR,Ecovillages,"Eco-villages are intentional communities that are primarily driven by the desire to maintain a natural, ecological, sustainable lifestyle and to produce the least possible negative impact on the natural environment. The social organisation of residents varies. The residents share ideological values, collective self-organisation and a high degree of cooperation, including an exchange of services in daily life while maintaining autonomy for each home. In some cases, it includes the organisation of working groups, focused on working the land or the forest. In terms of spatial organisation, the projects are mostly private and autonomous single-family houses (existing village houses) often organised around a common space, or shared rooms with a separate building for common use (e.g. collective kitchen, meetings). In some cases, these projects are self-build, located in low-density rural areas or, as in the Spanish case, the projects are located in abandoned country houses or villages, which often creates land ownership problems. These forms vary greatly in terms of tenure and legal form."
27,5,ES,Eco-Aldea,"Eco-villages: intentional communities with the goal of producing the least possible negative impact on the natural environment and becoming more socially, culturally, economically, and/or ecologically sustainable. The way of living is usually based on shared resources and spaces. In Spain, eco villages are linked to low density rural areas and the regeneration of abandoned villages."
28,5,SE,Ekoby,"Eco-villages: intentional communities with the goal of producing the least possible negative impact on the natural environment and becoming more socially, culturally, economically, and/or ecologically sustainable. In Sweden, an eco- village consists of a group of self-contained small houses, sometimes with a separate building intended for common use. It, therefore, does not imply shared living."
29,6,BE,Leefgemeenschap / woongroep,"Residential group / community: group who share their daily life as one big family. Private units with a bedroom and a bathroom for the households (often singles and couples) are complemented by shared rooms such as kitchen and living room. It is generally developed by a non-profit organisation. Linked to the Flemish region."
30,6,NL,Woongroep,"Living group: Group of several individuals living together as a household. Living units include private bedrooms and common bathrooms and kitchen."
31,6,DK,Kollektiv,"Commune: shared apartment or house with private rooms and common facilities (such as bathrooms and kitchen). This form is particularly focused on community values and sharing of everyday life activities with low degrees of privacy."
32,6,SE,Kollektiv / Storfamilj,"Living group: group of individuals sharing a house/apartment and living together as a household."
33,6,DE,Wohngemeinschaft,"Shared apartment: apartments that are shared by several individuals, with private bedrooms and common bathrooms and kitchen. Clusterwohnung (Cluster-apartment): Subform of Wohngemeinschaft, corresponds to an architectural typology with private units equipped with a kitchen and bathroom clustered around a large collective space."
34,6,CH,Gemeinschaftswohn / Wohngemeinschaft,"Shared apartment: apartments, usually rented, that are shared by several individuals, with private bedrooms and common bathrooms and kitchen. Residents are generally young but increasingly intergenerational."
35,7,SE,Byggemenskap,"Self-building group: group of aspiring homeowners, usually middle class, whose main driver is to pool resources to buy and build a building together to reduce costs and with more user-defined features. Although projects may include shared spaces, the emphasis is not on community living. This form appeared as part of the recent movement of private initiatives called ‘Building Togetherness'."
36,7,DK,Fællesbyg / Byggefællesskab,"Private collaborative building process: recently established form where a group of aspiring homeowners, usually middle class, pool resources to buy and build a building together to reduce costs and to build housing with more user-defined features. The focus is placed on the building process in which residents and architects collaborate and less at the living level, as the housing project does not necessarily include common areas."
37,7,DE,Baugruppe / Baugemeinschaft,"Building group/ Building community: group of aspiring homeowners, usually middle class, whose main driver is to pool resources to buy and build a building together to reduce costs and to build housing with more user-defined features. In a Baugruppe, collaboration is mainly at the planning level and less at the living level. In a Baugemeinschaft there is also emphasis on shared spaces and activities/tasks."
38,7,NL,Collectief particulier opdrachtgeverschap,"Collective private commissioning: formed by a group of like-minded individuals that want to build a project together. Buildings may include shared spaces, but it is not a core feature."
39,7,GB,Self-build housing,"A form where a group of aspiring homeowners, whose main driver is to pool resources to buy and build a building together to reduce costs and to build housing with more user-defined features. Collaboration is mainly at the planning level and less at the living level."
40,8,DK,Almenbolig +,"Non-profit housing: organisation driven by affordability, innovation and the integration of vulnerable social groups, where residents (usually families with children) participate in the management of their housing and to a lower degree in the design process. Settlements are usually new-built, suburban and low-rise. Initiatives do not necessarily include a common house and common activities."
41,8,DE,Mietshäuser Syndikat,"Tenements consortium: a non-speculative and politically motivated umbrella organisation that brings together many housing projects. The aim is to take property off the market in order to support the creation of affordable housing. It uses a non-speculative homeownership approach and allows self-organised groups to manage their own buildings."
42,8,BE,Habitat solidaire,"Solidarity housing: usually initiated by the non-profit sector to provide housing to precarious sections of the population. Buildings usually include collective spaces, and residents take an active role in the management of the project. Linked to the Brussels region."
43,8,FR,Habitat pariticipatif social,"Social participatory housing: projects initiated and developed by social housing developers."
44,12,DE,Mietergenossenschaft,"Rental cooperative: housing with private rooms and shared kitchen, with strong focus on co-design and shared living (shared spaces and common activities/tasks). It is usually rental, but sometimes the communities take collective ownership and form a cooperative or a Gesellschaft bürgerlichen Rechts - GbR (civil law partnership) as part of the Mietshäuser Syndikat."
45,12,NL,Beheer-Wooncoöperatie,"Management-cooperative: owned by a social housing provider and managed by the residents."
46,13,ES,Cooperativa de Cesión/derecho de uso,"Grant of use cooperative: legal form where households purchase a “share” in the cooperative rather than a standard property interest in the home. Each member of the cooperative receives a right to live in a housing unit, as well as a vote on matters of common interest. Cooperative members share responsibility for maintaining common areas and admitting new members. These cooperatives are subject to the requirements for public social housing."
47,13,DK,Andelsbolig,"(Shared equity) Housing cooperative: legal form where households purchase a “share” in the cooperative rather than a standard property interest in the home. Each member of the cooperative receives a right to live in one housing unit, as well as a vote on matters of common interest. Bylaws of individual housing cooperatives can regulate further shared responsibilities, e.g., on maintaining common areas and admitting new members."
48,13,BE,Habitat coopératif,"Cooperative housing: new-built housing projects initiated by the future inhabitants themselves or by a non-profit organisation, through the structure of a limited-equity cooperative. Main drivers are housing affordability, solidarity and/or other values."
49,13,CH,Wohngenossenschaften / Cooperative d'abitazione / Cooperative d'habitation,"Housing cooperatives with different degrees of collective self-organization, highly institutionalised and represent an important percentage of the non-profit affordable housing. Old (1920-1970) are considered traditional. They do not always imply self-organisation and some tend to move away from collaborative housing values. Between 1970 and 1980 the degree of self-organisation was very low in the (few) housing cooperatives. New (after 1980) are innovative and collaborative. The aim is to promote residents' diversity, collective self-organisation and vibrant neighbourhoods with mixed uses."
50,13,DE,(Wohnbau)Genossenschaft,"Traditional: Old and larger, not necessarily organised collaboratively. Social life is organized similarly to other tenement buildings. New: Smaller and innovative, where the members collaborate more intensively throughout the process, from the concept, to planning, building, managing and living together."
51,13,FR,Coopérative d'habitants / Société Coopérative d'Habitants,"Residents' cooperative: an emerging non-speculative form, collectively owned and managed, which is possible under the new law (ALUR law - 2014) that approves the establishment of cooperative societies of inhabitants."
52,10,BE,Community Land Trusts,"Non-profit organisation or a foundation, whose aim is to guarantee land as a common, provide affordable housing and to resist speculation. Projects usually consist of multi-unit housing in which gardens and sometimes storage and one additional space are shared. In terms of ownership, there is a distinction between the land that is owned by the trust and the building that is usually owned by a cooperative. The CLT has a tripartite governance system composed of the public sector, civil society and the inhabitants."
53,10,GB,Community Land Trusts,"A non-profit corporation that holds land on behalf of a community. CLTs are driven by affordability, democracy and collaboration. It is not necessarily self-organised, it can be initiated by an organisation or a developer. There are usually no more common areas than in mainstream UK housing, and only a minority adopts co-housing principles."
54,10,FR,Organisme de foncier solidaire,"The French term to Community Land Trust (CLT:, a non-profit corporation that holds land on behalf of a community. CLTs are driven by affordability, democracy and collaboration. It is not necessarily self-organised, it can be initiated by an organisation or a developer."
55,7,BE,Habitat groupé,"Housing group: self-developed new-built projects, often initiated by middle-class educated citizens. The main drivers are housing affordability, community feeling, solidarity and innovation. Buildings include collective spaces. Linked to the Walloon region."
56,8,DE,Stiftung,"Non-profit foundation: usually the owner of the land, which is rented through a long-term lease to a housing cooperative. The main driver is affordability."
57,12,GB,Tenant management co-operative,"A form based on structures of democratic and collaborative decision-making and governance involving the residents in the building management. The majority of projects aims at providing affordable rental housing. There is no emphasis on sharing spaces. The ownership of the properties rests in the hand of the local government or Housing Associations."
58,13,GB,Ownership Cooperative,"A form based on structures of democratic and collaborative decision-making and governance involving the residents in the building management. The majority of projects aims at providing affordable rental housing. There is no emphasis on sharing spaces. Homeowners have a joint stake in the development, cooperative governance and democratic control, but have individual ownership of their homes."
59,13,NL,Collectieve-koop of Vastgoedcoöperatie,"Traditional ownership cooperative: (add description)"
60,3,,Collective self-help,
61,60,GB,Self-help housing,"A form where a group of local people on a low income who, collectively, bring back into use empty properties for housing, usually with support from local authorities and third sector organisations."
62,60,ES,Masovería o Aparcería Urbana,"“Sharecropping”: similar to a rental contract, it allows the use of a vacant property in exchange for its rehabilitation and maintenance by the occupants, often collectively. It may be considered legal “squatting”.  Depending on the original building, projects could include shared spaces. The term corresponds to an old housing system according to which the owner of a farm granted the right to live on his property to a person or family in exchange for working the land and giving him a percentage of the harvest and/or livestock."
63,1,,Others,
64,63,NL,Magic mix model,"An emergent collaborative form of (temporary) housing provision targeting the young people, where Dutch residents live together with refugees or minority groups to promote social integration. (e.g., Startblok Riekerhaven in Amsterdam)"
65,63,FR,Construction légère,"Light-construction housing: temporary houses built with light-weight construction materials (e.g. shacks)."
66,63,BE,Kangoeroewonen,"Kangaroo living: this CH form often has two families or kin-related living next to each other or sharing spaces, where one of them needs special care given age or disability.  Family/household life is usually separated but there are regular visits, common activities and care tasks"
